company_name,RAM,ROM,height_in,battery_power,front_camera,back_camera,price_eur
SAMSUNG,12,512,7.6,4400,10,72,1814
SAMSUNG,12,256,7.6,4400,10,36,1771
SAMSUNG,12,256,7.6,4400,10,72,1704
SAMSUNG,12,256,7.6,4400,10,36,1649
SAMSUNG,12,512,6.8,5000,40,130,1572
SAMSUNG,12,512,6.8,5000,12,232,1484
SAMSUNG,12,512,6.8,5000,12,232,1484
SAMSUNG,12,512,6.8,5000,12,232,1484
SAMSUNG,12,256,6.8,5000,12,232,1374
SAMSUNG,12,256,6.8,5000,12,232,1374
SAMSUNG,12,256,6.8,5000,12,232,1374
SAMSUNG,12,256,6.8,5000,12,232,1374
SAMSUNG,12,256,6.8,5000,40,130,1209
SAMSUNG,8,512,6.6,4700,12,72,1154
SAMSUNG,8,512,6.6,4700,12,72,1154
SAMSUNG,12,512,6.8,5000,40,130,1144
SAMSUNG,12,256,6.8,5000,40,130,1045
SAMSUNG,8,256,6.6,4700,12,72,1044
SAMSUNG,8,256,6.6,4700,12,72,1044
SAMSUNG,8,256,6.7,3700,10,24,1044
SAMSUNG,12,256,6.8,5000,40,130,1044
SAMSUNG,8,256,6.7,3700,10,34,1044
SAMSUNG,8,256,6.7,3700,10,24,1044
SAMSUNG,12,256,6.8,5000,40,130,1039
SAMSUNG,12,256,6.8,5000,40,130,1011
OPPO,8,256,6.8,4300,32,58,989
SAMSUNG,8,128,6.7,3700,10,24,989
SAMSUNG,8,128,6.7,3700,10,24,989
SAMSUNG,8,256,6.6,4500,10,72,978
SAMSUNG,8,256,6.7,4300,10,88,946
SAMSUNG,8,128,6.1,3700,50,50,945
vivo,12,256,7.18,4870,32,112,934
SAMSUNG,8,256,6.1,3700,10,72,890
SAMSUNG,8,256,6.1,3900,12,72,879
SAMSUNG,8,256,6.1,3900,12,72,879
SAMSUNG,8,256,6.1,3900,12,72,879
SAMSUNG,8,256,6.1,3900,12,72,879
SAMSUNG,8,256,6.1,3900,12,72,879
SAMSUNG,8,256,6.1,3900,12,72,879
Google,12,128,6.7,4926,10,110,835
Google,12,128,6.7,4926,10,110,835
Google,12,128,6.7,4926,10,110,835
SAMSUNG,8,128,6.1,3900,12,72,824
SAMSUNG,8,128,6.5,4500,32,32,824
SAMSUNG,8,128,6.1,3900,12,72,824
SAMSUNG,8,256,6.1,3700,10,72,802
SAMSUNG,8,256,6.1,3700,10,72,802
SAMSUNG,8,128,6.1,3700,10,72,802
SAMSUNG,8,256,6.1,3700,50,50,780
SAMSUNG,8,128,6.1,3900,12,72,769
OnePlus,12,256,6.7,5000,48,48,769
OnePlus,12,256,6.7,5000,48,48,769
SAMSUNG,8,128,6.58,4400,64,64,725
SAMSUNG,8,256,6.1,3700,50,50,725
SAMSUNG,8,256,6.1,3700,50,50,725
vivo,12,256,7.18,4810,32,74,703
vivo,12,256,7.18,4810,32,74,703
SAMSUNG,4,64,5.8,3000,12,12,687
OnePlus,16,256,6.7,5000,50,50,670
vivo,8,256,7.18,4810,32,74,659
vivo,8,256,7.18,4810,32,74,659
vivo,12,256,7.18,4500,32,118,659
vivo,8,256,7.18,4810,32,74,659
vivo,8,256,7.18,4810,32,74,659
OnePlus,8,128,6.7,4500,48,48,659
OnePlus,16,256,6.7,5000,50,50,659
IQOO,16,256,7.18,5000,16,121,659
realme,12,256,6.7,5000,32,112,637
realme,12,256,6.7,5000,32,112,637
realme,12,256,6.7,5000,32,112,637
ASUS,12,256,7.18,6000,24,82,637
OnePlus,8,128,6.7,5000,50,50,626
Nokia,6,128,6.39,3320,20,60,619
OnePlus,16,256,6.7,4800,50,50,615
OnePlus,8,128,6.7,5000,50,50,615
OnePlus,8,128,6.7,5000,48,48,614
vivo,12,256,6.56,4200,32,138,604
vivo,8,128,7.18,4500,32,74,604
SAMSUNG,8,128,6.6,4500,10,72,604
vivo,8,128,7.18,4500,32,74,604
SAMSUNG,8,128,6.6,4500,10,72,604
SAMSUNG,8,128,6.6,4500,10,72,604
Google,8,128,6.3,4270,10,62,593
Google,8,128,6.3,4270,10,62,593
Google,8,128,6.3,4270,10,62,593
OnePlus,12,256,6.7,4800,50,50,593
OnePlus,8,128,6.7,5000,48,48,582
OnePlus,8,256,7.02,4500,48,48,560
SAMSUNG,8,128,6.1,3700,50,50,560
SAMSUNG,8,128,6.1,3700,10,72,555
SAMSUNG,8,128,6.5,4500,32,22,550
realme,8,128,6.7,5000,32,134,549
realme,8,128,6.7,5000,32,112,549
MOTOROLA,12,256,7.07,4610,60,262,549
realme,8,128,6.7,5000,32,112,549
MOTOROLA,12,256,7.07,4610,60,262,549
ASUS,8,128,7.18,6000,24,82,549
SAMSUNG,8,128,6.1,3700,50,50,549
SAMSUNG,8,128,6.1,3700,50,50,544
IQOO,8,128,7.18,4700,50,50,544
IQOO,8,128,7.18,4700,50,50,544
SAMSUNG,8,128,6.1,3700,10,72,544
Mi,8,128,7.07,5000,20,126,527
realme,12,256,6.44,4200,40,86,527
realme,12,256,6.44,4200,40,86,527
Xiaomi,12,256,7.13,4600,50,50,527
Xiaomi,12,256,7.13,4600,50,50,516
IQOO,8,256,7.18,4700,16,116,511
Xiaomi,12,256,7.13,4600,50,50,511
OPPO,12,256,6.7,4500,32,60,505
MOTOROLA,8,128,7.07,4610,60,262,494
SAMSUNG,8,128,6.7,3300,10,24,494
SAMSUNG,8,128,6.7,3300,10,24,494
OnePlus,8,128,6.7,4800,50,50,494
MOTOROLA,8,128,7.07,4610,60,262,494
OnePlus,12,256,6.55,4500,48,48,493
OnePlus,16,256,6.7,5000,50,50,485
OnePlus,16,256,6.7,5000,50,50,485
Google,8,128,6.1,4300,13,77,483
Google,8,128,6.1,4300,13,77,483
Google,8,128,6.1,4300,13,77,483
vivo,12,256,6.56,4300,58,118,483
Xiaomi,8,256,7.13,4600,50,50,483
OnePlus,8,128,6.7,4800,50,50,482
vivo,12,256,7.18,4600,50,60,472
vivo,12,256,7.18,4600,50,60,472
realme,12,256,6.7,4500,16,60,472
realme,12,256,6.7,4500,16,60,472
OnePlus,8,128,7.02,4500,50,50,472
realme,12,256,6.7,4500,16,60,472
